Coutry;City;Borough;Neighbourhood;Area;Population;Density
Cyprus;Nicosia;Lefkosía;Faneroméni;0.09;512;5,689
Cyprus;Nicosia;Lefkosía;Gení-Tzamí;0.21;215;1,024
Cyprus;Nicosia;Lefkosía;Kaïmaklí;6.65;11,564;1,739
Cyprus;Nicosia;Lefkosía;Nempét Chané;0.03;189;6,300
Cyprus;Nicosia;Lefkosía;Omerié;0.1;206;2,060
Cyprus;Nicosia;Lefkosía;Omorfíta;0.36;284;789
Cyprus;Nicosia;Lefkosía;Panagía;5.62;12,398;2,206
Cyprus;Nicosia;Lefkosía;Taktelkalé;0.3;826;2,753
Cyprus;Nicosia;Lefkosía;Tampák Chané;0.03;299;9,967
Cyprus;Nicosia;Lefkosía;Trypiótis;0.96;2,158;2,248
Cyprus;Nicosia;Stróvolos;Ágios Dimítrios;2.32;11,464;4,941
Cyprus;Nicosia;Stróvolos;Ágios Vasíleios;8.38;22,251;2,655
Cyprus;Nicosia;Stróvolos;Apóstolos Varnávas kai Ágios Makários;8.04;13,995;1,741
Cyprus;Nicosia;Stróvolos;Chryseleoúsa;6.12;17,386;2,841
Cyprus;Nicosia;Stróvolos;Ethnomártyras Kyprianós;0.23;1,624;7,061
Cyprus;Nicosia;Stróvolos;Stavrós;0.19;1,184;6,232
Cyprus;Nicosia;Synoikismos Anthoupolis;Synoikismos Anthoupolis;0.44;1,756;3,991
Estonia;Tallinn;Haabersti;;22.26;45,339;2,037
Estonia;Tallinn;Kesklinn;;30.56;63,406;2,075
Estonia;Tallinn;Kristiine;;7.84;33,202;4,235
Estonia;Tallinn;Lasnamäe;;27.47;119,542;4,352
Estonia;Tallinn;Mustamäe;;8.09;68,211;8,432
Estonia;Tallinn;Nõmme;;29.17;39,540;1,356
Estonia;Tallinn;Pirita;;18.73;18,606;993
Estonia;Tallinn;Põhja-Tallinn;;15.9;60,203;3,786
Latvia;Riga;Central District;;3;26,466;8,822
Latvia;Riga;Kurzeme District;;79;134,817;1,707
Latvia;Riga;Latgale Suburb;;50;197,166;3,943
Latvia;Riga;Northern District;;77;81,972;1,065
Latvia;Riga;Vidzeme Suburb;;57;173,124;3,037
Latvia;Riga;Zemgale Suburb;;41;106,068;2,587
Slovenia;Ljubljana;Šiška;;7.36;35,532;4,828
Slovenia;Ljubljana;Bežigrad;;7.24;34,670;4,789
Slovenia;Ljubljana;Center;;5.07;25,795;5,088
Slovenia;Ljubljana;Moste;;3.4;21,659;6,370
Slovenia;Ljubljana;Polje;;2.21;20,394;9,228
Slovenia;Ljubljana;Rožnik;;8.35;17,014;2,038
Slovenia;Ljubljana;Trnovo;;7.18;16,777;2,337
Slovenia;Ljubljana;Dravlje;;1.11;15,645;14,095
Slovenia;Ljubljana;Jarše;;9.06;14,394;1,589
Slovenia;Ljubljana;Šentvid;;1.58;14,216;8,997
Slovenia;Ljubljana;Vič;;1.43;13,995;9,787
